Timestamp,Discord username + tag (Ex. Discord#0000),op.gg link of your account (main account if you're not from EUW),op.gg link of your account you will play with (leave empty if it's the same as above),Preferred role(s)
11/23/2022 13:49:44,Stixx#3434,https://www.op.gg/summoners/euw/T2Stixx,,Mid
11/23/2022 13:51:24,spook#3934,https://www.op.gg/summoners/euw/DRIFTLISTA,,Adc
11/23/2022 13:52:10,mald-lou#6454,https://www.op.gg/summoners/euw/eTH0T,I would prefer to not play with Jessy (JessyIsMute) Jessy#9448.,"Adc, Support"
11/23/2022 13:55:02,Mark The Bubble Shark#6969,https://www.op.gg/summoners/eune/TM8%20Perni,https://www.op.gg/summoners/euw/Venandi,"Top, Adc"
11/23/2022 13:57:38,Hex#8285,https://www.op.gg/summoners/euw/JewishStoner,,"Mid, Support"
11/23/2022 14:01:16,Frollie#4444,https://www.op.gg/summoners/euw/GG%20Thigh%20Gap,,Mid
11/23/2022 14:26:56,Samdisk#9150,https://www.op.gg/summoners/euw/Samdisk,,Adc 
11/23/2022 14:28:52,Wardergrip#1263,https://www.op.gg/summoners/euw/Wardergrip,,"Adc, Support"
11/23/2022 15:07:20,ZeXroL#7509,https://www.op.gg/summoners/euw/G%C3%AAt%20Drav%C3%AAn%C3%AAd,,"Top, Mid"
11/23/2022 15:16:19,Twanny#5931,https://www.op.gg/summoners/euw/Twanny420,,"Top, Support"
11/23/2022 20:06:55,finn fanboy#9416,https://www.op.gg/summoners/euw/aapleo,,"Top, Support" 
11/23/2022 21:19:52,Nofax#8542,https://www.op.gg/summoners/euw/Riz1ko,,Adc
11/24/2022 14:26:49,erikek#0697,https://www.op.gg/summoners/euw/yamıı,,"Top, Jngl, Mid"
11/24/2022 16:45:01,Princess Pumpkin#4019,https://www.op.gg/summoners/euw/Princess%20Pumpkin,,"Mid, Support"
11/26/2022 11:00:44,franzi#8456,https://www.op.gg/summoners/euw/bwfoee,,Support,diamond 4
12/2/2022 19:25:28,Venator#5533,https://www.op.gg/summoners/euw/RemiSusceptibL,,"Top, Jngl, Mid"
12/2/2022 20:44:12,Qiuubby#7933,https://www.op.gg/summoners/euw/Qiuubby,,Jngl
12/4/2022 16:00:20,twallpies#5621,https://www.op.gg/summoners/euw/twallpies,,"Top, Mid, Adc, Support, Fill"
